V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,class
0.427671837,0.122131432,0.131046693,0.170160738,0.195811377,0.329466332,1.005408198,0.559056453,0.164436979,0.093551469,0.101201577,0.214443154,0.642822576,3.141224864,0.683192974,0.451883247,0m
0.210535698,0.005442401,0.017148526,0.028038637,0.072878782,0.158125177,0.83391075,0.763480406,0.4002002,0.330659795,0.356692356,0.475916577,0.862607584,2.775442059,0.388277417,0.157044204,0m
0.444907946,0.075589298,0.108804623,0.145113947,0.170966756,0.25726736,0.830454593,0.437223765,0.116848021,0.05766831,0.090607205,0.208878549,0.631391676,2.917120482,0.669629583,0.449673853,0m
0.240969376,0.134589667,0.098839484,0.108215954,0.121771108,0.150169909,0.610684892,0.431218579,0.283656482,0.262565621,0.312480855,0.442084835,0.875077458,2.824998219,0.491536401,0.242979468,0m
0.517671035,0.158333091,0.159285042,0.179607467,0.194939676,0.262389249,0.65384403,0.263884649,0.153140883,0.190545239,0.264033145,0.410069938,0.870878076,3.194943525,0.536176835,0.283870941,0m
0.387137443,0.117369316,0.124649076,0.150044544,0.183382276,0.220665244,0.508011215,0.190140551,0.06963749,0.107411977,0.197987125,0.335554194,0.796753676,3.359168036,0.655419065,0.427151516,0m
0.091424833,0.091324202,0.09612471,0.093733084,0.105819065,0.086632244,0.220495477,0.403755256,0.289354195,0.283178425,0.346014605,0.492086405,0.970455927,3.189844606,0.440025406,0.161351065,0m
0.468463467,0.022098231,0.029396069,0.036111102,0.06646101,0.099096507,0.340315706,0.193193021,0.014611297,0.041121022,0.123502284,0.259547105,0.730987164,3.491643232,0.740564323,0.508103591,0m
0.301934695,0.145362557,0.12825386,0.147534126,0.144206364,0.17126141,0.260514739,0.29400117,0.236957043,0.260408307,0.331599685,0.47451088,0.960463141,3.261856614,0.463404475,0.200061331,0m
0.413977125,0.100417254,0.097562202,0.094286988,0.084713682,0.113599905,0.255799736,0.173743724,0.150303327,0.177748471,0.230531541,0.373725419,0.836605816,3.404324662,0.635846397,0.388425883,0m
0.327250424,0.108150131,0.119481242,0.116632511,0.146311109,0.172138109,0.283386214,0.028653055,0.122496122,0.179438174,0.24437859,0.370604183,0.85086054,3.395516253,0.630955586,0.393821554,0m
0.190791247,0.107994702,0.111913742,0.11027393,0.116478793,0.121674087,0.021875258,0.294466335,0.239692574,0.247577322,0.31046219,0.45901412,0.946867568,3.288054714,0.508634462,0.248153792,0m
0.431587674,0.029610105,0.00541186,0.004594,0.032265143,0.03332429,0.095518485,0.136709194,0.106746054,0.113683668,0.172902266,0.293732644,0.774748243,3.466138893,0.724365638,0.487206644,0m
0.106746241,0.176601853,0.178738921,0.173534892,0.183835084,0.225824527,0.299899297,0.099126019,0.19587593,0.246303477,0.325819624,0.482110637,1.000177575,3.298378288,0.45953479,0.155919418,0m
0.415902032,0.027045142,0.030092618,0.035583398,0.013934512,0.023545903,0.161205368,0.224343744,0.160805877,0.159385309,0.214046852,0.347287454,0.838840348,3.504092364,0.685091037,0.454200476,0m
0.324232818,0.082693059,0.086705952,0.076744951,0.069750692,0.065222784,0.157826818,0.349308432,0.228201008,0.247758069,0.302438234,0.420669385,0.923183319,3.323637251,0.554418297,0.325646049,0m
0.398166448,0.184125607,0.171805051,0.173379771,0.193831873,0.255482277,0.586066308,0.279651215,0.156164849,0.183503586,0.252507925,0.392878717,0.896884856,3.264908333,0.587306338,0.369928239,0m
0.432650182,0.072844839,0.08336296,0.081956811,0.105814727,0.189209776,0.687224565,0.582084997,0.280420488,0.26587696,0.2933903,0.417382328,0.922430346,3.441838841,0.63712566,0.390672263,0m
0.210912541,0.190657331,0.196277847,0.218409563,0.269236211,0.336235824,0.910459709,0.51784827,0.24961276,0.274446312,0.329123912,0.476017107,0.979344986,3.341380422,0.437129655,0.161601899,0m
0.59924374,0.093483225,0.094880164,0.114073687,0.133612277,0.257264854,0.807576937,0.52751683,0.184618553,0.135221131,0.149483085,0.257178383,0.713078495,3.471045743,0.729311191,0.496335014,0m
0.284504482,0.036283294,0.017109998,0.019362593,0.071503885,0.131557844,0.715266232,0.706668567,0.368057604,0.328683189,0.354515956,0.475607564,0.929641971,3.165665,0.486519786,0.251969284,0m
0.507752715,0.157582553,0.170464418,0.194049638,0.220718855,0.334221308,0.930331412,0.46653529,0.110413088,0.111311669,0.17326002,0.301493471,0.760628797,3.270154012,0.639210851,0.404608895,0m
0.270320883,0.080063149,0.091009512,0.104626977,0.144531518,0.192483083,0.764474734,0.610131644,0.301696818,0.269301082,0.291220357,0.404952523,0.837574677,3.125112236,0.527062419,0.299796839,0m
0.114874888,0.19392692,0.186446443,0.212878969,0.247394969,0.346775579,0.938592524,0.539510374,0.266474614,0.241348727,0.3091147,0.437328612,0.889776966,3.030270739,0.427104366,0.144554613,0m
0.488801084,0.100534932,0.11035596,0.153576773,0.196683254,0.284605859,0.974718311,0.573501822,0.176438119,0.098764572,0.109524412,0.234393217,0.662420529,3.291562572,0.709799168,0.480648894,0m
0.131217148,0.016883391,0.005942225,0.030232601,0.067205725,0.167460693,0.828526875,0.752681375,0.397132031,0.331669865,0.35843735,0.469255929,0.900701799,2.998387879,0.429879394,0.205826296,0m
0.416919681,0.15033112,0.158103584,0.195727416,0.241819412,0.327159815,1.02832787,0.514043847,0.149454642,0.080981695,0.118073259,0.250847319,0.674934391,3.153744354,0.659730273,0.44619069,0m
0.312659815,0.094202072,0.08928003,0.123846764,0.126371614,0.23248271,0.900948473,0.697219586,0.346275266,0.293564746,0.320763885,0.419875875,0.839001678,2.956983899,0.463581984,0.257919833,0m
0.412947091,0.198080454,0.204563784,0.203170302,0.251799348,0.353671126,1.016406131,0.589660824,0.254026475,0.243253103,0.288576884,0.414630273,0.840506745,2.863529233,0.394588364,0.146923402,0m
0.416787356,0.134109261,0.152049759,0.168452937,0.190395554,0.30693865,1.003328492,0.54673029,0.144153009,0.064177319,0.101334983,0.21624615,0.612418054,2.997737146,0.655716211,0.448215759,0m
0.059580702,0.038281205,0.025023252,0.033819679,0.043846903,0.11651189,0.692002432,0.663613856,0.357743945,0.335096628,0.35985654,0.456140406,0.877755768,2.67247311,0.376195616,0.130552313,0m
0.430072668,0.083853686,0.111766308,0.132237895,0.155139409,0.241052745,0.755285923,0.405713606,0.106063236,0.035497724,0.085663943,0.198297359,0.605748548,2.937476573,0.645732201,0.437784598,0m
0.253875954,0.094848483,0.102019992,0.088494039,0.117919195,0.145913006,0.59248256,0.409694731,0.283304818,0.284108247,0.313481396,0.420554563,0.907228341,2.85813425,0.46869725,0.226541399,0m
0.510493565,0.153498394,0.163387935,0.180798791,0.237361624,0.285044,0.675220008,0.256214213,0.148092539,0.188630638,0.256604121,0.392670899,0.878845185,3.161546307,0.535143428,0.29432097,0m
0.418170994,0.150858527,0.138563322,0.15867219,0.161755607,0.2178019,0.598234101,0.226440065,0.071447113,0.114093094,0.177511525,0.311006819,0.79296352,3.323567297,0.637263042,0.401519731,0m
0.187294688,0.102817984,0.091895638,0.089069902,0.077948928,0.081768941,0.3104151,0.444587717,0.302361125,0.305334249,0.345827187,0.48130875,0.954165282,3.174702273,0.421999022,0.160986773,0m
0.508127169,0.031146345,0.028641925,0.051163151,0.068068833,0.138892675,0.405070849,0.221211739,0.051267631,0.034179483,0.095634572,0.236820098,0.696189639,3.454772711,0.720795364,0.497660798,0m
0.286482739,0.116934975,0.111062057,0.114803967,0.124100821,0.134620076,0.295855563,0.342263916,0.264258548,0.273533068,0.332256136,0.467394682,0.934475032,3.210358843,0.455721325,0.206977393,0m
0.423428483,0.12217068,0.139214606,0.140622967,0.172534669,0.205560576,0.436680683,0.196934602,0.132258232,0.162110707,0.235502787,0.380481112,0.849264969,3.330436607,0.595207016,0.353571046,0m
0.351079165,0.127327888,0.141372459,0.140950701,0.174151401,0.217220354,0.429073883,0.110847789,0.088561448,0.132560175,0.218814904,0.338197486,0.797415218,3.378282481,0.617322208,0.403607552,0m
0.140700036,0.090034422,0.090199911,0.092415645,0.101622498,0.086659785,0.162722966,0.40226948,0.276942828,0.279978083,0.341940209,0.482628193,0.935026015,3.239980236,0.456540804,0.174503155,0m
